time,open,high,low,close,tick_volume,spread,real_volume
2023-07-20,1975.76,1987.4,1965.3,1969.39,100801,5,0
2023-07-21,1970.17,1973.72,1956.77,1961.84,91718,5,0
2023-07-24,1962.39,1967.86,1953.45,1954.74,89153,5,0
2023-07-25,1955.07,1965.66,1951.21,1964.79,82907,5,0
2023-07-26,1965.04,1978.31,1961.99,1972.06,98704,5,0
2023-07-27,1971.18,1982.09,1942.54,1945.46,112873,5,0
2023-07-28,1946.37,1963.45,1945.35,1959.02,107950,5,0
2023-07-31,1958.95,1972.35,1950.95,1965.4,85708,5,0
2023-08-01,1965.63,1965.92,1941.23,1944.04,92812,5,0
2023-08-02,1949.48,1954.73,1932.9,1934.71,95886,5,0
2023-08-03,1935.24,1938.86,1929.45,1934.02,97383,5,0
2023-08-04,1934.07,1946.75,1925.67,1942.63,91879,5,0
2023-08-07,1942.15,1946.65,1931.42,1936.44,68576,5,0
2023-08-08,1936.45,1938.04,1922.74,1924.98,86936,5,0
2023-08-09,1924.99,1932.27,1913.96,1914.58,72833,5,0
2023-08-10,1914.83,1930.08,1912.05,1912.27,92005,5,0
2023-08-11,1912.59,1920.87,1910.71,1913.77,78046,5,0
2023-08-14,1913.51,1916.19,1902.69,1907.33,77535,5,0
2023-08-15,1907.32,1911.6,1896.27,1901.85,96905,5,0
2023-08-16,1901.69,1907.16,1891.75,1891.82,82229,5,0
2023-08-17,1892.17,1903.42,1884.95,1889.27,93395,5,0
2023-08-18,1889.44,1896.83,1886.74,1889.59,77273,5,0
2023-08-21,1889.78,1898.77,1884.75,1894.65,84700,5,0
2023-08-22,1894.66,1904.49,1889.08,1897.31,79920,5,0
2023-08-23,1897.39,1920.37,1897.27,1915.4,86291,5,0
2023-08-24,1915.25,1923.34,1911.74,1916.74,85229,5,0
2023-08-25,1917.07,1922.36,1903.74,1913.88,85103,5,0
2023-08-28,1915.59,1926.03,1912.75,1920.15,66690,5,0
2023-08-29,1920.04,1938.13,1914.41,1937.34,80538,5,0
2023-08-30,1937.23,1949.07,1934.95,1942.24,86884,5,0
2023-08-31,1942.78,1947.83,1939.01,1940.07,78452,5,0
2023-09-01,1940.07,1952.89,1934.47,1939.86,87397,5,0
2023-09-04,1940.28,1946.27,1936.65,1938.35,44118,5,0
2023-09-05,1938.53,1938.94,1925.31,1925.98,83033,5,0
2023-09-06,1926.13,1929.14,1915.26,1916.41,80367,5,0
